Source,Target
DB01142,P41595
DB01142,P08173
DB01142,P28223
DB01142,P23975
DB01142,P35348
DB01142,P28335
DB01142,P08172
DB01142,P18089
DB01142,P35368
DB01142,P25100
DB01142,P31645
DB01142,P14416
DB01143,P22413
DB01143,P10696
DB01148,P11229
DB01148,P08172
DB01149,P08913
DB01149,P08908
DB01149,P28223
DB01149,P23975
DB01149,P35348
DB01149,P28335
DB01149,P35368
DB01149,Q01959
DB01149,P31645
DB01151,P20309
DB01151,P11229
DB01151,P08588
DB01151,P08912
DB01151,P08173
DB01151,P28223
DB01151,P23975
DB01151,P35348
DB01151,P08172
DB01151,P07550
DB01151,P31645
DB01151,P17405
DB01156,P23975
DB01156,Q01959
DB01156,P32297
DB01157,P00374
DB01158,P05023
DB01159,O15554
DB01159,P03886
DB01159,O60391
DB01159,Q12791
DB01159,Q8TCU5
DB01159,P14867
DB01159,P48549
DB01159,P48051
DB01159,P59768
DB01159,P08100
DB01159,O14649
DB01159,Q9NPC2
DB01161,Q9Y5Y9
DB01161,P46098
DB01161,Q8TCU5
DB01161,Q01959
DB01162,Q12809
DB01162,P35348
DB01162,P35368
DB01162,P25100
DB01165,P11388
DB01169,P31749
DB01169,P28482
DB01169,P24385
DB01169,P05412
DB01169,P27361
DB01169,O14920
DB01169,Q16881
DB01173,Q9Y5Y9
DB01173,Q05586
DB01173,O15399
DB01173,P23975
DB01173,O60391
DB01173,Q8TCU5
DB01174,P48169
DB01174,P34903
DB01174,P14867
DB01174,Q13002
DB01174,P42262
DB01174,P43681
DB01174,P36544
DB01177,P11388
DB01182,Q12809
DB01182,Q14524
DB01183,P03372
DB01183,P41143
DB01183,P41145
DB01183,P35372
DB01183,P16220
DB01184,P35462
DB01184,P14416
DB01185,P03372
DB01185,P10275
DB01185,P16471
DB01185,P04150
DB01186,P21728
DB01186,P21918
DB01186,P08913
DB01186,P08908
DB01186,P18825
DB01186,P21917
DB01186,P41595
DB01186,P28223
DB01186,P35348
DB01186,P28335
DB01186,P18089
DB01186,P35368
DB01186,P35462
DB01186,P28221
DB01186,P25100
DB01186,P14416
DB01186,P28222
DB01189,P03886
DB01189,P42261
DB01189,Q09470
DB01189,P14867
DB01193,P08588
DB01193,P07550
DB01194,P00918
DB01194,P22748
DB01195,Q14524
DB01195,P35499
DB01196,P03372
DB01196,Q92731
DB01196,P11137
DB01196,P78559
DB01198,P34903
DB01198,P30536
DB01198,P14867
DB01200,P21728
DB01200,P21918
DB01200,P08913
DB01200,P08908
DB01200,P18825
DB01200,P21917
DB01200,P41595
DB01200,P28223
DB01200,P35348
DB01200,P28335
DB01200,P18089
DB01200,P35368
DB01200,P35462
DB01200,P34969
DB01200,P28221
DB01200,P25100
DB01200,P14416
DB01200,P28222
DB01203,P08588
DB01203,P07550
DB01204,P11388
DB01205,P14867
DB01205,P18507
DB01206,Q9H169
DB01210,P08588
DB01210,P07550
DB01214,P08588
DB01214,P07550
DB01215,P24046
DB01215,P34903
DB01215,P14867
DB01215,P18505
DB01215,P28472
DB01215,P47870
DB01215,P18507
DB01215,Q8N1C3
DB01215,Q99928
DB01215,P28476
DB01215,O14764
DB01217,P11511
DB01218,Q12809
DB01219,P21817
DB01220,O75469
DB01221,P25103
DB01221,Q8TCU5
DB01221,P14416
DB01222,P04150
DB01223,P30542
DB01224,P21728
DB01224,P20309
DB01224,P11229
DB01224,P21918
DB01224,P08912
DB01224,P08913
DB01224,P08908
DB01224,P46098
DB01224,P18825
DB01224,P21917
DB01224,P08173
DB01224,P28223
DB01224,P35348
DB01224,P28335
DB01224,P08172
DB01224,P18089
DB01224,P35368
DB01224,P35462
DB01224,P34969
DB01224,P28221
DB01224,P25100
DB01224,P14416
DB01224,P28222
DB01224,P50406
DB01226,P20309
DB01226,P08172
DB01226,Q15822
DB01226,P06276
DB01229,Q9H4B7
DB01229,P10415
DB01233,Q13639
DB01233,P11229
DB01233,P14416
DB01234,P35228
DB01234,P51843
DB01234,P04083
DB01234,P04150
DB01236,P03886
DB01236,P42261
DB01236,Q09470
DB01236,P14867
DB01238,P21728
DB01238,P20309
DB01238,P11229
DB01238,P21918
DB01238,P08912
DB01238,P08913
DB01238,P08908
DB01238,P46098
DB01238,P18825
DB01238,P21917
DB01238,P08173
DB01238,P28223
DB01238,P35348
DB01238,P28335
DB01238,P08172
DB01238,P18089
DB01238,P35368
DB01238,P35462
DB01238,P34969
DB01238,P28221
DB01238,P14416
DB01238,P28222
DB01238,P50406
DB01241,Q07869
DB01242,P41595
DB01242,P28223
DB01242,P23975
DB01242,P28335
DB01242,P31645
DB01242,P09211
DB01247,P27338
DB01247,P21397
DB01248,Q9H4B7
DB01248,P10415
DB01250,P01579
DB01254,P00519
DB01254,P09619
DB01254,P42684
DB01254,P10721
DB01254,P12931
DB01254,P06241
DB01254,P07947
DB01254,P29317
DB01254,P06239
DB01254,P51692
DB01258,P00797
DB01260,P04150
DB01261,P27487
DB01268,P35916
DB01268,P17948
DB01268,P36888
DB01268,P09619
DB01268,P35968
DB01268,P10721
DB01268,P16234
DB01268,P07333
DB01273,P43681
DB01273,P36544
DB01273,P32297
DB01275,Q16853
DB01280,P09884
DB01291,P08588
DB01291,P07550
DB01320,Q14524
DB01324,P55017
DB01327,P27169
DB01337,P20309
DB01337,P08172
DB01337,Q15822
DB01340,P12821
DB01356,P42263
DB01356,O14732
DB01356,P49841
DB01356,P29218
DB01364,Q05940
DB01364,P22303
DB01364,P23975
DB01364,P35348
DB01367,P10415
DB01367,P27338
DB01378,P05023
DB01393,Q07869
DB01393,P37231
DB01393,Q03181
DB01394,Q9H4B7
DB01394,P07437
DB01400,P22303
DB01406,P03372
DB01406,P10275
DB01406,P30968
DB01406,P06401
DB01406,P13500
DB01409,P20309
DB01409,P11229
DB01409,P08172
DB01410,P04150
DB01427,Q07343
DB01427,P01375
DB01558,P24046
DB01558,P48169
DB01558,P34903
DB01558,P14867
DB01558,P18505
DB01558,P28472
DB01558,P47870
DB01558,P18507
DB01558,Q8N1C3
DB01558,Q99928
DB01558,P28476
DB01558,O14764
DB01577,Q05940
DB01577,P08913
DB01577,P18825
DB01577,P23975
DB01577,P18089
DB01577,Q01959
DB01577,P31645
DB01577,P27338
DB01577,P21397
DB01591,P20309
DB01591,P11229
DB01591,P08912
DB01591,P08173
DB01591,P08172
DB01595,P24046
DB01595,P48169
DB01595,P34903
DB01595,P14867
DB01595,P18505
DB01595,P28472
DB01595,P47870
DB01595,P18507
DB01595,Q8N1C3
DB01595,Q99928
DB01595,P28476
DB01595,O14764
DB01611,Q9NYK1
DB01611,Q9NR96
DB01612,P16066
DB01618,P11229
DB01618,P08908
DB01618,P28223
DB01618,P14416
DB01623,P21728
DB01623,P28223
DB01623,P14416
DB01656,Q07343
DB01656,P27815
DB01656,Q08499
DB04839,P10275
DB04844,Q05940
DB04845,Q13509
DB04861,P08588
DB04861,P07550
DB04896,Q05586
DB04896,P23975
DB04896,P31645
DB05246,O43497
DB06201,P41594
DB06204,P46098
DB06204,P41143
DB06204,P23975
DB06204,P41145
DB06204,P31645
DB06204,P35372
DB06209,Q9H244
DB06212,P37288
DB06212,P30518
DB06216,P21728
DB06216,P25021
DB06216,P08588
DB06216,P08913
DB06216,P08908
DB06216,P18825
DB06216,P21917
DB06216,P41595
DB06216,P28223
DB06216,P35348
DB06216,P28335
DB06216,P18089
DB06216,P35462
DB06216,P34969
DB06216,P07550
DB06216,P14416
DB06216,P28222
DB06216,P50406
DB06228,P00742
DB06274,P41143
DB06274,P41145
DB06274,P35372
DB06287,P42345
DB06335,P27487
DB06695,P00734
DB06710,P10275
DB06711,P08913
DB06711,P35348
DB06800,P41145
DB06800,P35372
DB08860,P04035
